SOC,V0
0.184,3.55560248644887
0.185,3.55646660923742
0.186,3.55722090975981
0.187,3.55812741348086
0.188,3.55899303660671
0.189,3.55978313508205
0.19,3.56062826689934
0.191,3.56145475390652
0.192,3.5622879286731
0.193,3.56309112444359
0.194,3.56397663147262
0.195,3.56476668314001
0.196,3.56559625376804
0.197,3.56641294907098
0.198,3.56722262495671
0.199,3.56809118866111
0.2,3.56892576503019
0.201,3.56960437905962
0.202,3.57045621430116
0.203,3.57119353043709
0.204,3.5719952860455
0.205,3.57276257384997
0.206,3.5735737215538
0.207,3.57431631533919
0.208,3.57505891990693
0.209,3.57581604058244
0.21,3.57663031854382
0.211,3.57723864086925
0.212,3.57799220341734
0.213,3.57877646716293
0.214,3.57948989471603
0.215,3.58015881114302
0.216,3.58090407411599
0.217,3.58155014652898
0.218,3.58220828899889
0.219,3.5829751554913
0.22,3.58360341988817
0.221,3.58434589148798
0.222,3.5849854235291
0.223,3.58565418128124
0.224,3.586334
0.225,3.58700481295506
0.226,3.58775533285109
0.227,3.58836862970873
0.228,3.58910445616338
0.229,3.58979295299958
0.23,3.59043825672985
0.231,3.59111389147901
0.232,3.59179398187136
0.233,3.59256577423147
0.234,3.59317204011041
0.235,3.59379504719961
0.236,3.59452220035736
0.237,3.59532500740174
0.238,3.59592384989064
0.239,3.59664599710204
0.24,3.59727885881966
0.241,3.59792858696417
0.242,3.5987032519185
0.243,3.59943390248931
0.244,3.6000826977729
0.245,3.60085311089724
0.246,3.60145968464899
0.247,3.60211051410043
0.248,3.60285822082097
0.249,3.60348504244443
0.25,3.60411413835391
0.251,3.60487045574411
0.252,3.6055907960494
0.253,3.60616807065441
0.254,3.60691763933997
0.255,3.60761888381187
0.256,3.60829556122519
0.257,3.60898574309601
0.258,3.60971876447297
0.259,3.61035730056325
0.26,3.61108468467889
0.261,3.61170651218258
0.262,3.61238660772022
0.263,3.61304154517819
0.264,3.61376633999963
0.265,3.61445704098298
0.266,3.61503063285943
0.267,3.61578077288739
0.268,3.61643728100506
0.269,3.61710354065795
0.27,3.61775092172548
0.271,3.61847334950631
0.272,3.61915743304184
0.273,3.61972744980301
0.274,3.62038501867594
0.275,3.62105602955599
0.276,3.62170393918966
0.277,3.62236965904601
0.278,3.62307251548355
0.279,3.62365397818741
0.28,3.62434713671989
0.281,3.62495170981515
0.282,3.62560487114054
0.283,3.62631621395065
0.284,3.62698357422769
0.285,3.6275542548302
0.286,3.62826611000187
0.287,3.62897792990402
0.288,3.62960442315997
0.289,3.63030455807562
0.29,3.63098044897382
0.291,3.63165222811304
0.292,3.63236467746686
0.293,3.63293753714099
0.294,3.63366056397927
0.295,3.63434023440787
0.296,3.63503983881048
0.297,3.63568124412676
0.298,3.63636015481928
0.299,3.63709371735988
0.3,3.63770753620002
0.301,3.6384014503173
0.302,3.63909368500455
0.303,3.63973786492947
0.304,3.6404320154471
0.305,3.64102115770755
0.306,3.64172213853222
0.307,3.64238697699047
0.308,3.64303545776393
0.309,3.64369672072543
0.31,3.6442585940955
0.311,3.64491349381161
0.312,3.64555862380146
0.313,3.64619954322852
0.314,3.64675888717065
0.315,3.64747473371072
0.316,3.6480598623773
0.317,3.64862680494874
0.318,3.64934218543601
0.319,3.64989107529155
0.32,3.65051708561668
0.321,3.65108296083697
0.322,3.65169371904469
0.323,3.65230380780049
0.324,3.65287756918868
0.325,3.6534670451461
0.326,3.65405850917785
0.327,3.65452834052181
0.328,3.65508091847518
0.329,3.65572850365037
0.33,3.65624902108444
0.331,3.65696165122445
0.332,3.65736605801429
0.333,3.65797769009212
0.334,3.6585280248379
0.335,3.65909992555449
0.336,3.65957885361638
0.337,3.6601788559395
0.338,3.66074529128219
0.339,3.66133553833017
0.34,3.66188507722756
0.341,3.66242101913039
0.342,3.66284481493266
0.343,3.66348257506278
0.344,3.66414012582026
0.345,3.6645747098085
0.346,3.66512919211433
0.347,3.66570778801306
0.348,3.6662237899413
0.349,3.66680624279398
0.35,3.66736067672094
0.351,3.66794439049627
0.352,3.66847096212762
0.353,3.6690017104961
0.354,3.66956094411248
0.355,3.67007452278187
0.356,3.67072295142582
0.357,3.67128111383713
0.358,3.67185519372451
0.359,3.67242949044397
0.36,3.67302663070709
0.361,3.67357293252623
0.362,3.67415014766829
0.363,3.67473734385961
0.364,3.67524691888481
0.365,3.67582256765917
0.366,3.67639918774199
0.367,3.67702425341019
0.368,3.6775423306872
0.369,3.67821835597851
0.37,3.67877132149959
0.371,3.6793058089625
0.372,3.67997798233351
0.373,3.68057889035114
0.374,3.68113120096941
0.375,3.68171356829682
0.376,3.68237454722483
0.377,3.68288879655731
0.378,3.68356920665213
0.379,3.68411210327757
0.38,3.68473510884901
0.381,3.68534728537766
0.382,3.68592298492471
0.383,3.68660396559422
0.384,3.68725665261213
0.385,3.68786715237634
0.386,3.68846351553401
0.387,3.68906008553185
0.388,3.68974850811346
0.389,3.69035188572593
0.39,3.69096355310409
0.391,3.69167703047022
0.392,3.6923085720457
0.393,3.69296198369654
0.394,3.69365530043604
0.395,3.69422914982191
0.396,3.69485531736659
0.397,3.69559941882171
0.398,3.6961374387568
0.399,3.69685963183777
0.4,3.69754771317923
0.401,3.69821249328765
0.402,3.69892423128978
0.403,3.69956401137399
0.404,3.70030360272964
0.405,3.70085804800638
0.406,3.70155306154903
0.407,3.70228219753284
0.408,3.70295833076371
0.409,3.70370333762151
0.41,3.70440318909017
0.411,3.70506294334777
0.412,3.70576162851818
0.413,3.70641771207916
0.414,3.70717527065418
0.415,3.70781940480955
0.416,3.70858563688989
0.417,3.70935365423118
0.418,3.71003685046479
0.419,3.71070154753991
0.42,3.71148442553611
0.421,3.71222448870693
0.422,3.71301445425371
0.423,3.71369954386294
0.424,3.71438818920361
0.425,3.71515409485314
0.426,3.71598346984647
0.427,3.71660868573406
0.428,3.7174014352525
0.429,3.7180514190339
0.43,3.71896933510649
0.431,3.71965700417409
0.432,3.72035760879051
0.433,3.72123250136444
0.434,3.72183412036802
0.435,3.72264210699576
0.436,3.72344718395689
0.437,3.72423808888871
0.438,3.72498113725083
0.439,3.72582770561688
0.44,3.72664332688313
0.441,3.72740133803733
0.442,3.72813182256053
0.443,3.72893837877028
0.444,3.72980552889047
0.445,3.73053785232764
